,id
0,410255
1,410284
2,410293
3,410193
4,410094
5,135058
6,410044
7,410294
8,410042
9,13717
10,410003
11,410146
12,410076
13,29297
14,16252
15,2255
16,410078
17,174570
18,409820
19,410232
20,409908
21,409596
22,409989
23,409762
24,409564
25,409782
26,15101
27,409752
28,409585
29,409795
30,410091
31,410218
32,390405
33,409546
34,170222
35,68056
36,66748
37,15695
38,26378
39,410065
40,409778
41,409093
42,409433
43,409001
44,409568
45,409701
46,5129
47,410274
48,52452
49,192687
50,408925
51,409704
52,53680
53,13904
54,409183
55,110987
56,18035
57,52069
58,386992
59,252226
60,409576
61,9946
62,47505
63,409491
64,408807
65,409413
66,409678
67,150730
68,52591
69,345347
70,10989
71,27505
72,324169
73,111283
74,8197
75,409140
76,409563
77,8849
78,410167
79,406408
80,58470
81,408955
82,408822
83,13273
84,409388
85,405979
86,410166
87,37460
88,9113
89,247034
90,408788
91,408929
92,408959
93,58002
94,91324
95,30230
96,51213
97,12135
98,408824
99,409043
100,409248
101,409243
102,374215
103,409550
104,50917
105,217747
106,77344
107,111567
108,40426
109,380582
110,409133
111,405937
112,408783
113,408989
114,408987
115,393257
116,410028
117,401746
118,105425
119,40290
120,15188
121,58010
122,54763
123,16093
124,17626
125,408780
126,408957
127,409099
128,409027
129,9645
130,9011
131,409944
132,15437
133,323059
134,377459
135,409329
136,409498
137,312228
138,409545
139,50150
140,22170
141,60795
142,62428
143,37212
144,4334
145,51928
146,408671
147,405197
148,408739
149,409244
150,409548
151,409967
152,119911
153,408826
154,16996
155,331781
156,34628
157,69412
158,408639
159,408816
160,409011
161,409354
162,189961
163,408956
164,408800
165,74682
166,410228
167,395635
168,54651
169,42562
170,14248
171,19132
172,408405
173,408967
174,409441
175,31143
176,410188
177,30288
178,106721
179,303086
180,13067
181,7826
182,13677
183,10430
184,112042
185,408714
186,338544
187,409351
188,409174
189,409247
190,409819
191,409855
192,40181
193,53228
194,68957
195,13230
196,60716
197,38157
198,41936
199,33308
200,408587
201,373036
202,354401
203,409372
204,409446
205,2402
206,409644
207,10717
208,104953
209,44098
210,408220
211,2113
212,136266
213,9727
214,267949
215,24394
216,169194
217,61428
218,408820
219,409124
220,408768
221,408954
222,365356
223,29927
224,45326
225,26303
226,233488
227,22741
228,23175
229,9863
230,9952
231,410151
232,97150
233,45319
234,143391
235,17720
236,30223
237,409254
238,408674
239,409130
240,408958
241,391110
242,408178
243,408939
244,409928
245,408116
246,407963
247,408150
248,8386
249,408014
250,409628
251,409035
252,9689
253,408276
254,408399
255,392781
256,77363
257,181198
258,28806
259,44874
260,50973
261,31735
262,408289
263,407997
264,409015
265,409098
266,409551
267,409592
268,378273
269,409583
270,36519
271,408055
272,408130
273,408147
274,380177
275,32536
276,12552
277,1956
278,24315
279,305318
280,407715
281,9769
282,408301
283,44442
284,9543
285,403882
286,80772
287,25649
288,408397
289,376862
290,409403
291,408779
292,69486
293,126474
294,34937
295,69122
296,407947
297,62455
298,49522
299,61631
300,4734
301,10738
302,33326
303,406746
304,407862
305,408766
306,42598
307,28628
308,410235
309,409848
310,407847
311,405806
312,53400
313,36887
314,100016
315,43623
316,173210
317,310317
318,407716
319,408510
320,408821
321,409911
322,410019
323,407588
324,407826
325,407895
326,142082
327,408133
328,50477
329,408103
330,221030
331,49150
332,57378
333,173075
334,8767
335,51218
336,90061
337,11296
338,63596
339,8476
340,408233
341,408590
342,409005
343,409517
344,154619
345,407654
346,407689
347,407701
348,407694
349,407741
350,407748
351,407954
352,408009
353,51551
354,307271
355,26404
356,61319
357,65262
358,407975
359,351507
360,333664
361,408372
362,319177
363,62294
364,354174
365,14866
366,32178
367,344233
368,358128
369,407596
370,407722
371,408192
372,95450
373,14839
374,16368
375,10900
376,408067
377,13548
378,38987
379,9068
380,408988
381,319783
382,408366
383,409681
384,275924
385,407643
386,408136
387,408312
388,18963
389,408734
390,309509
391,408827
392,408845
393,408834
394,408903
395,152817
396,407423
397,407550
398,407828
399,407919
400,408190
401,118044
402,29969
403,162978
404,80944
405,76538
406,15964
407,26631
408,178097
409,352984
410,194570
411,408047
412,408581
413,401699
414,409565
415,409231
416,409856
417,167511
418,407430
419,407656
420,407664
421,407822
422,407977
423,407849
424,22822
425,46073
426,205380
427,56331
428,408750
429,408598
430,408805
431,408879
432,408919
433,13150
434,153972
435,245148
436,220329
437,31973
438,306344
439,18201
440,37402
441,407677
442,407917
443,110043
444,10438
445,35372
446,92189
447,174032
448,8747
449,59912
450,31857
451,32575
452,47655
453,10499
454,391440
455,408675
456,407414
457,409270
458,407100
459,236151
460,407285
461,407330
462,407882
463,408114
464,408146
465,307536
466,43999
467,258610
468,40224
469,12728
470,50179
471,407970
472,408466
473,408550
474,408669
475,408846
476,408908
477,409176
478,409235
479,408382
480,408771
481,409784
482,407952
483,372502
484,407865
485,29612
486,5225
487,62355
488,138905
489,142861
490,13777
491,42044
492,160603
493,408179
494,409317
495,409352
496,408488
497,394992
498,74008
499,9538
500,407055
501,407098
502,407088
503,407480
504,407658
505,407729
506,408048
507,408156
508,407149
509,407536
510,13118
511,43701
512,17600
513,57753
514,172578
515,112467
516,408446
517,409185
518,76393
519,34415
520,33190
521,30529
522,33617
523,407253
524,407191
525,407415
526,407539
527,405659
528,408257
529,407385
530,407698
531,407900
532,408011
533,408248
534,69489
535,27757
536,77830
537,41622
538,24064
539,31829
540,26803
541,26814
542,399832
543,408916
544,409250
545,409934
546,410109
547,26282
548,407217
549,170923
550,410189
551,407190
552,408271
553,407179
554,407387
555,407887
556,407663
557,407891
558,408455
559,408022
560,408170
561,407138
562,407492
563,407530
564,407953
565,382781
566,408066
567,407612
568,24914
569,282168
570,345631
571,36646
572,245251
573,407085
574,407454
575,408059
576,409276
577,10000
578,406762
579,67812
580,28333
581,408474
582,40390
583,408781
584,409322
585,409463
586,408602
587,407920
588,189126
589,406718
590,407069
591,407143
592,407845
593,60280
594,24453
595,408708
596,407060
597,155464
598,91876
599,257070
600,410178
601,408045
602,403617
603,71351
604,39803
605,57972
606,112699
607,36141
608,10905
609,394427
610,409544
611,249323
612,407290
613,407209
614,407646
615,408308
616,29147
617,311885
618,156831
619,400465
620,409395
621,171255
622,408534
623,327252
624,368626
625,406868
626,407259
627,407586
628,407577
629,360372
630,407091
631,407202
632,407244
633,407653
634,40860
635,60310
636,23517
637,5956
638,408228
639,409567
640,407369
641,409002
642,408142
643,407342
644,388525
645,62543
646,407000
647,396208
648,407048
649,333915
650,361112
651,408938
652,408841
653,408618
654,408037
655,26504
656,248462
657,23243
658,70704
659,391977
660,394109
661,97175
662,407246
663,407341
664,407334
665,407600
666,34022
667,31988
668,407451
669,402293
670,409171
671,312363
672,406546
673,407061
674,407393
675,407874
676,407902
677,407965
678,408167
679,114854
680,4195
681,329102
682,23341
683,115817
684,38191
685,11673
686,131587
687,32561
688,83250
689,8594
690,33076
691,14388
692,408871
693,408884
694,406152
695,406330
696,406703
697,406794
698,406887
699,129138
700,407552
701,25794
702,396984
703,59696
704,172960
705,79120
706,7714
707,12793
708,172768
709,25421
710,134233
711,51418
712,54756
713,408406
714,407010
715,409108
716,408877
717,6629
718,393722
719,346029
720,400123
721,406692
722,407081
723,407018
724,407633
725,407866
726,87316
727,29793
728,34260
729,102485
730,407009
731,408367
732,407948
733,52101
734,15909
735,75683
736,12084
737,409902
738,12213
739,407033
740,407340
741,271513
742,131724
743,57869
744,73100
745,14335
746,43789
747,328981
748,51453
749,253793
750,12725
751,343482
752,397570
753,406137
754,407570
755,374090
756,405858
757,408254
758,59552
759,78597
760,14701
761,153037
762,208486
763,34796
764,57002
765,70061
766,409311
767,407909
768,409393
769,410098
770,395105
771,406457
772,406622
773,406720
774,408002
775,407839
776,407956
777,408255
778,13912
779,19728
780,409237
781,48478
782,10364
783,33224
784,351048
785,406443
786,406426
787,406623
788,406707
789,406866
790,406989
791,406999
792,407022
793,407205
794,407344
795,407529
796,407601
797,407943
798,287836
799,25692
800,248883
801,257976
802,259025
803,241766
804,25866
805,408966
806,408607
807,408291
808,105718
809,80067
810,10580
811,2430
812,407070
813,407829
814,407288
815,406970
816,407053
817,37832
818,315789
819,118730
820,42175
821,140683
822,406676
823,407507
824,410051
825,264085
826,339240
827,406157
828,406403
829,406652
830,190691
831,406958
832,406973
833,406984
834,407049
835,370470
836,407490
837,407893
838,405567
839,405658
840,404905
841,26377
842,22980
843,27461
844,408665
845,409457
846,409039
847,22715
848,406030
849,407745
850,162392
851,7346
852,238031
853,57752
854,56835
855,406600
856,406840
857,407676
858,407938
859,26521
860,64480
861,8444
862,26880
863,14377
864,406060
865,408716
866,409199
867,37031
868,45105
869,120185
870,406708
871,407251
872,407389
873,407629
874,406697
875,406881
876,170058
877,53915
878,134097
879,77483
880,192054
881,407015
882,31130
883,406926
884,405330
885,405378
886,406743
887,409787
888,407959
889,406029
890,406677
891,408005
892,409419
893,405470
894,406369
895,406503
896,406802
897,407554
898,405337
899,151595
900,17129
901,9887
902,108962
903,8033
904,47979
905,409127
906,409880
907,410303
908,406204
909,406669
910,405236
911,405516
912,407037
913,406933
914,49053
915,117396
916,132282
917,61120
918,29057
919,312800
920,405695
921,408875
922,405820
923,325941
924,405381
925,405967
926,406241
927,406346
928,406435
929,407404
930,408026
931,14300
932,79397
933,113726
934,22584
935,409903
936,405398
937,406197
938,406723
939,406924
940,406801
941,408191
942,99649
943,274493
944,181320
945,36283
946,307959
947,404924
948,405026
949,405245
950,405850
951,155755
952,60774
953,28139
954,36305
955,30922
956,10701
957,19523
958,409336
959,408516
960,407951
961,405990
962,406145
963,406158
964,346792
965,405396
966,406991
967,406841
968,312553
969,76590
970,106755
971,175660
972,371626
973,38024
974,23873
975,37025
976,30385
977,305597
978,14617
979,405202
980,405527
981,405317
982,406155
983,258155
984,406601
985,406202
986,407208
987,407688
988,71179
989,8548
990,53498
991,30979
992,70267
993,409957
994,405209
995,405279
996,405261
997,405443
998,404966
999,405536
1000,405592
1001,407011
1002,406125
1003,407043
1004,406106
1005,16137
1006,31846
1007,44974
1008,67062
1009,31798
1010,13790
1011,218620
1012,408804
1013,409041
1014,402684
1015,405363
1016,410081
1017,406191
1018,406831
1019,407820
1020,407904
1021,405115
1022,405185
1023,405266
1024,404800
1025,29634
1026,42530
1027,54480
1028,393777
1029,50668
1030,16663
1031,285762
1032,49129
1033,42438
1034,165417
1035,49141
1036,408555
1037,406052
1038,405303
1039,404871
1040,343620
1041,407158
1042,407870
1043,407661
1044,407925
1045,408072
1046,95823
1047,25543
1048,255775
1049,38810
1050,59379
1051,88800
1052,404824
1053,383329
1054,405682
1055,406068
1056,406199
1057,404999
1058,406373
1059,406412
1060,406609
1061,406717
1062,405204
1063,407781
1064,406779
1065,408210
1066,16230
1067,73011
1068,248051
1069,45987
1070,81317
1071,144497
1072,79740
1073,3055
1074,12849
1075,406104
1076,74790
1077,93692
1078,49998
1079,337271
1080,6290
1081,404817
1082,404806
1083,404856
1084,404903
1085,405038
1086,405778
1087,405851
1088,347656
1089,406711
1090,408258
1091,399749
1092,406679
1093,406977
1094,407358
1095,142641
1096,41168
1097,8015
1098,186178
1099,16584
1100,25694
1101,408898
1102,408556
1103,106963
1104,404898
1105,406017
1106,404922
1107,404888
1108,404965
1109,404997
1110,405611
1111,405829
1112,220563
1113,97137
1114,163855
1115,23553
1116,182228
1117,42994
1118,315167
1119,52077
1120,35373
1121,224491
1122,13019
1123,408757
1124,404400
1125,73456
1126,404638
1127,404321
1128,405790
1129,136233
1130,16264
1131,232431
1132,12278
1133,39689
1134,17873
1135,22827
1136,25025
1137,31746
1138,154294
1139,376149
1140,405276
1141,408324
1142,404807
1143,404795
1144,405131
1145,405588
1146,405809
1147,404746
1148,405862
1149,404769
1150,406663
1151,404592
1152,407163
1153,407278
1154,29680
1155,12667
1156,387654
1157,25182
1158,408965
1159,404647
1160,409586
1161,114292
1162,182484
1163,134621
1164,409927
1165,404273
1166,404401
1167,404429
1168,404979
1169,405101
1170,405177
1171,405231
1172,405309
1173,405866
1174,405875
1175,406381
1176,405179
1177,381620
1178,406949
1179,407440
1180,237489
1181,16209
1182,106386
1183,43107
1184,76195
1185,94512
1186,33969
1187,109713
1188,111697
1189,226324
1190,335400
1191,405037
1192,406410
1193,404133
1194,404706
1195,407794
1196,403768
1197,392478
1198,404618
1199,404632
1200,404862
1201,404916
1202,405170
1203,402108
1204,12984
1205,29986
1206,16061
1207,408993
1208,406164
1209,404559
1210,406616
1211,406732
1212,404107
1213,404802
1214,404635
1215,97681
1216,405065
1217,405263
1218,405427
1219,405438
1220,405545
1221,100998
1222,407230
1223,407351
1224,116891
1225,144836
1226,131200
1227,40319
1228,295245
1229,13334
1230,408361
1231,409627
1232,404929
1233,404936
1234,405461
1235,405606
1236,405618
1237,406194
1238,406239
1239,406341
1240,406680
1241,406728
1242,407672
1243,407765
1244,407779
1245,407867
1246,408298
1247,23208
1248,31619
1249,136422
1250,2283
1251,69966
1252,46003
1253,145635
1254,408735
1255,409350
1256,58655
1257,23705
1258,83268
1259,72508
1260,47141
1261,404974
1262,405899
1263,404070
1264,404197
1265,404457
1266,404894
1267,404935
1268,405232
1269,405565
1270,405701
1271,405837
1272,129524
1273,407416
1274,407872
1275,407995
1276,97298
1277,36900
1278,305165
1279,56892
1280,56967
1281,13193
1282,409067
1283,168849
1284,409779
1285,55084
1286,74484
1287,410053
1288,403996
1289,409996
1290,404630
1291,43382
1292,403645
1293,404901
1294,405476
1295,408144
1296,404946
1297,409764
1298,404505
1299,405251
1300,407204
1301,408105
1302,403610
1303,405280
1304,402083
1305,406604
1306,406648
1307,403521
1308,403676
1309,403691
1310,403903
1311,404255
1312,404375
1313,405142
1314,405849
1315,10305
1316,154092
1317,55422
1318,311639
1319,16553
1320,107633
1321,206166
1322,242797
1323,25830
1324,37733
1325,115130
1326,41068
1327,406716
1328,332466
1329,403964
1330,404283
1331,404336
1332,404436
1333,404581
1334,405013
1335,405181
1336,111178
1337,407939
1338,408006
1339,408120
1340,406617
1341,11243
1342,408535
1343,14924
1344,43405
1345,202575
1346,26330
1347,35855
1348,45184
1349,15055
1350,355314
1351,18933
1352,403929
1353,404284
1354,404314
1355,404360
1356,404439
1357,404480
1358,404860
1359,405094
1360,405023
1361,404424
1362,405977
1363,406430
1364,407082
1365,407265
1366,218681
1367,24426
1368,24892
1369,28774
1370,81133
1371,154449
1372,405741
1373,8130
1374,10922
1375,54328
1376,161509
1377,223059
1378,54689
1379,409330
1380,403569
1381,404494
1382,404566
1383,404636
1384,405593
1385,405670
1386,405743
1387,406702
1388,407233
1389,407987
1390,54779
1391,38691
1392,52957
1393,16557
1394,112454
1395,272036
1396,187549
1397,410133
1398,403663
1399,406513
1400,403664
1401,406820
1402,407354
1403,407499
1404,407670
1405,403476
1406,314901
1407,403532
1408,403544
1409,403585
1410,403630
1411,403656
1412,403700
1413,403719
1414,253373
1415,403821
1416,403981
1417,404465
1418,404708
1419,237564
1420,251359
1421,303621
1422,17332
1423,375831
1424,37289
1425,383127
1426,73465
1427,11811
1428,144354
1429,11367
1430,409519
1431,409389
1432,406132
1433,403439
1434,403515
1435,315581
1436,333667
1437,400455
1438,336724
1439,403285
1440,394889
1441,404975
1442,405178
1443,405304
1444,405320
1445,405405
1446,407306
1447,187151
1448,407189
1449,10067
1450,85696
1451,38869
1452,34236
1453,112226
1454,15107
1455,28083
1456,37236
1457,6376
1458,251360
1459,249198
1460,80533
1461,77392
1462,31863
1463,188603
1464,408506
1465,408489
1466,406411
1467,36984
1468,407447
1469,403451
1470,403790
1471,362773
1472,404009
1473,404563
1474,405625
1475,406446
1476,405192
1477,405477
1478,403955
1479,407197
1480,92645
1481,407396
1482,401751
1483,174929
1484,6548
1485,141100
1486,36776
1487,15451
1488,15693
1489,131418
1490,405473
1491,343658
1492,403206
1493,403501
1494,403525
1495,403554
1496,403583
1497,385484
1498,404334
1499,404356
1500,404390
1501,404448
1502,404784
1503,49775
1504,405118
1505,405291
1506,405530
1507,405602
1508,405683
1509,276239
1510,407329
1511,406013
1512,343997
1513,17704
1514,29913
1515,125729
1516,26829
1517,13615
1518,74997
1519,55849
1520,340115
1521,410037
1522,405853
1523,405637
1524,407435
1525,407669
1526,402918
1527,403761
1528,404139
1529,404420
1530,404452
1531,404696
1532,405012
1533,405206
1534,405830
1535,36321
1536,27768
1537,60672
1538,31112
1539,52262
1540,23697
1541,173233
1542,210578
1543,37404
1544,389013
1545,409468
1546,392163
1547,11082
1548,406751
1549,403179
1550,403402
1551,404043
1552,404489
1553,246674
1554,404585
1555,407422
1556,407618
1557,379218
1558,22599
1559,12455
1560,188216
1561,388440
1562,359062
1563,34398
1564,403699
1565,402976
1566,403202
1567,403464
1568,403746
1569,403808
1570,403923
1571,404130
1572,404886
1573,405055
1574,405214
1575,406367
1576,386119
1577,40314
1578,18135
1579,396681
1580,402887
1581,41752
1582,403212
1583,403240
1584,402819
1585,403599
1586,403452
1587,294724
1588,404328
1589,404326
1590,404432
1591,404438
1592,404583
1593,405340
1594,405389
1595,406144
1596,406445
1597,407424
1598,407367
1599,49708
1600,12699
1601,36134
1602,259981
1603,17350
1604,27947
1605,12834
1606,44057
1607,64767
1608,9092
1609,162234
1610,28379
1611,96008
1612,350351
1613,33384
1614,229399
1615,406206
1616,406478
1617,402970
1618,402818
1619,403980
1620,404859
1621,402570
1622,408008
1623,407992
1624,16089
1625,15109
1626,49782
1627,146484
1628,18155
1629,40364
1630,38618
1631,30030
1632,7816
1633,403843
1634,409438
1635,410015
1636,402820
1637,403261
1638,403372
1639,403928
1640,405292
1641,407269
1642,408042
1643,231038
1644,217588
1645,300721
1646,66336
1647,10667
1648,311866
1649,404037
1650,282143
1651,290980
1652,13681
1653,402553
1654,402687
1655,402776
1656,402831
1657,402885
1658,402919
1659,403551
1660,334602
1661,403819
1662,403785
1663,405059
1664,405288
1665,405996
1666,407333
1667,381774
1668,28102
1669,25797
1670,50222
1671,205687
1672,26018
1673,10661
1674,24000
1675,58102
1676,402860
1677,403710
1678,402930
1679,403309
1680,403299
1681,209432
1682,403820
1683,403829
1684,403912
1685,403971
1686,99609
1687,404522
1688,404820
1689,404881
1690,404998
1691,380332
1692,370531
1693,407819
1694,341339
1695,406544
1696,406819
1697,404067
1698,408243
1699,316959
1700,58364
1701,60871
1702,262794
1703,28241
1704,30463
1705,104956
1706,225105
1707,39003
1708,243914
1709,14981
1710,409152
1711,65854
1712,403508
1713,406685
1714,406893
1715,407170
1716,407282
1717,402291
1718,402477
1719,402792
1720,402848
1721,403238
1722,403322
1723,403475
1724,403512
1725,403777
1726,403877
1727,403465
1728,404194
1729,405610
1730,408245
1731,25375
1732,34364
1733,36340
1734,336131
1735,172592
1736,33770
1737,60674
1738,57735
1739,409515
1740,402066
1741,406275
1742,406356
1743,406765
1744,141742
1745,402483
1746,402638
1747,403077
1748,403405
1749,403503
1750,403577
1751,404010
1752,404219
1753,402851
1754,405336
1755,408053
1756,406847
1757,407316
1758,408093
1759,12840
1760,97759
1761,335691
1762,115091
1763,124977
1764,409308
1765,402963
1766,402448
1767,371605
1768,402495
1769,402738
1770,402905
1771,402987
1772,403215
1773,359412
1774,403661
1775,404018
1776,404143
1777,313627
1778,404290
1779,404519
1780,404526
1781,405069
1782,405793
1783,406336
1784,406342
1785,406533
1786,344055
1787,407693
1788,355958
1789,115042
1790,406570
1791,45655
1792,408649
1793,232932
1794,203685
1795,285948
1796,402525
1797,402714
1798,404478
1799,404735
1800,404845
1801,405788
1802,405932
1803,407309
1804,406552
1805,120443
1806,208941
1807,409462
1808,46100
1809,55457
1810,61105
1811,267565
1812,231285
1813,139833
1814,60538
1815,318745
1816,403294
1817,401908
1818,403646
1819,403919
1820,401916
1821,404311
1822,402222
1823,403568
1824,403766
1825,402081
1826,409042
1827,402462
1828,402602
1829,406500
1830,409494
1831,401887
1832,401840
1833,409559
1834,405881
1835,159317
1836,401880
1837,375597
1838,402427
1839,402520
1840,402583
1841,138323
1842,403826
1843,86835
1844,401776
1845,375271
1846,404956
1847,12541
1848,57441
1849,42754
1850,15962
1851,53595
1852,10360
1853,405356
1854,403673
1855,131058
1856,402707
1857,403126
1858,403397
1859,403528
1860,403756
1861,402528
1862,405325
1863,391856
1864,55801
1865,31598
1866,129021
1867,24861
1868,116930
1869,110311
1870,202126
1871,401807
1872,314802
1873,401829
1874,401856
1875,402183
1876,402312
1877,402331
1878,157638
1879,403592
1880,402487
1881,405640
1882,405043
1883,406386
1884,407875
1885,408060
1886,408203
1887,329069
1888,395435
1889,17674
1890,192085
1891,158892
1892,25671
1893,163790
1894,403708
1895,401845
1896,395586
1897,402173
1898,402492
1899,402551
1900,402875
1901,389115
1902,386273
1903,403207
1904,403453
1905,403851
1906,403953
1907,404723
1908,404779
1909,348956
1910,404897
1911,404911
1912,403633
1913,407821
1914,285625
1915,6950
1916,54510
1917,53719
1918,110334
1919,30557
1920,11506
1921,24595
1922,401138
1923,391771
1924,101161
1925,341288
1926,404129
1927,295642
1928,394559
1929,401766
1930,401852
1931,401934
1932,402149
1933,402313
1934,402521
1935,403183
1936,403321
1937,403704
1938,403977
1939,404483
1940,405861
1941,126769
1942,2671
1943,401729
1944,408428
1945,410120
1946,402165
1947,406672
1948,332567
1949,401928
1950,402302
1951,402669
1952,401923
1953,403385
1954,403591
1955,403612
1956,402197
1957,401505
1958,404498
1959,401614
1960,405596
1961,408010
1962,407472
1963,401883
1964,29398
1965,71570
1966,11192
1967,32412
1968,29263
1969,406577
1970,60454
1971,408638
1972,86760
1973,401468
1974,401585
1975,401646
1976,401728
1977,401821
1978,401837
1979,402192
1980,402575
1981,403115
1982,403096
1983,403260
1984,404812
1985,405126
1986,401218
1987,403842
1988,406874
1989,407008
1990,407502
1991,408012
1992,29034
1993,36334
1994,402042
1995,150629
1996,122589
1997,43987
1998,22863
1999,403897
2000,402771
2001,402956
2002,403763
2003,404225
2004,404616
2005,406832
2006,407063
2007,407162
2008,408267
2009,127030
2010,201307
2011,303475
2012,377118
2013,265255
2014,53907
2015,92009
2016,211819
2017,39222
2018,10531
2019,229269
2020,19763
2021,408706
2022,403605
2023,401151
2024,401181
2025,401117
2026,401391
2027,401986
2028,402375
2029,402486
2030,403200
2031,403470
2032,403648
2033,401969
2034,405124
2035,405135
2036,356946
2037,89141
2038,11812
2039,68297
2040,85939
2041,92201
2042,203241
2043,408684
2044,41124
2045,403320
2046,52704
2047,12709
2048,32243
2049,405878
2050,401803
2051,401017
2052,401124
2053,401296
2054,401458
2055,401481
2056,166253
2057,365704
2058,402369
2059,402393
2060,403412
2061,403399
2062,403696
2063,403806
2064,401917
2065,403987
2066,404185
2067,405223
2068,401121
2069,407810
2070,407776
2071,113074
2072,23092
2073,25479
2074,30397
2075,102494
2076,16921
2077,24132
2078,401743
2079,408502
2080,105071
2081,261828
2082,407345
2083,407994
2084,401316
2085,33512
2086,402032
2087,402306
2088,402524
2089,329103
2090,403000
2091,402609
2092,403509
2093,403720
2094,36875
2095,10662
2096,86337
2097,33883
2098,56258
2099,85992
